#  log(age)     mini          mact           logl     logt  phase
    6.6500   45.9743347168   34.6102000000    5.7662    4.3425   0.0
    6.6500   45.9757766724   34.6097000000    5.7666    4.3340   0.0
    6.6500   45.9772186279   34.6092000000    5.7668    4.3246   0.0
    6.6500   45.9786567688   34.5916000000    5.7671    4.3147   0.0
    6.6500   45.9800949097   34.5741000000    5.7672    4.3038   0.0
    6.6500   45.9815368652   34.5565000000    5.7673    4.2919   0.0
    6.6500   45.9822196960   34.5482000000    5.7672    4.2852   0.0
    6.6500   45.9829750061   34.5389000000    5.7672    4.2784   0.0
    6.6500   45.9836578369   34.5306000000    5.7672    4.2710   0.0
    6.6500   45.9844207764   34.5213000000    5.7671    4.2631   0.0
    6.6500   45.9851036072   34.4775000000    5.7671    4.2545   0.0
    6.6500   45.9858589172   34.4592000000    5.7671    4.2453   0.0
    6.6500   45.9865417480   34.4428000000    5.7671    4.2347   0.0
    6.6500   45.9873008728   34.4245000000    5.7671    4.2238   0.0
    6.6500   45.9879798889   34.4080000000    5.7671    4.2140   0.0
    6.6500   45.9887390137   34.3897000000    5.7671    4.2053   0.0
    6.6500   45.9894218445   34.3689000000    5.7671    4.1968   0.0
    6.6500   45.9901771545   34.3458000000    5.7671    4.1890   0.0
    6.6500   45.9908599854   34.3249000000    5.7670    4.1819   0.0
    6.6500   45.9916152954   34.3018000000    5.7668    4.1750   0.0
    6.6500   45.9922981262   34.2876000000    5.7665    4.1680   0.0
    6.6500   45.9937324524   34.2578000000    5.7656    4.1567   0.0
    6.6500   45.9959335327   34.1697000000    5.7606    4.1455   0.0
    6.6500   45.9974441528   34.1337000000    5.7565    4.1366   0.0
    6.6500   45.9996376038   34.0814000000    5.7603    4.1281   0.0
    6.6500   46.0031967163   33.9930000000    5.7671    4.1183   0.0
    6.6500   46.0111351013   33.6950000000    5.7774    4.1061   0.0
    6.6500   46.0575675964   31.9085000000    5.7890    4.0240   0.0
    6.6500   46.0714645386   31.3469000000    5.7907    3.9994   0.0
    6.6500   46.0755195618   31.2023000000    5.7901    4.0005   0.0
