#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.65   11.0000000000 10.9931   3.7988   4.4852   4.5672   0.4787   0.0000
    6.65   12.3517427444 12.3427   3.9772   4.5084   4.5319   0.4787   0.0000
    6.65   15.7278413773 15.7123   4.3659   4.5566   4.4408   0.4787   0.0000
    6.65   17.5000000000 17.4804   4.5461   4.5773   4.3896   0.4787   0.0000
    6.65   18.2146949768 18.1922   4.5952   4.5825   4.3788   0.4787   0.0000
    6.65   25.6039199829 25.5359   5.0287   4.6187   4.2374   0.4787   0.0000
    6.65   31.4216156006 31.2928   5.3027   4.6264   4.0824   0.4787   0.0000
    6.65   35.0000000000 34.8211   5.4520   4.6191   3.9501   0.4787   0.0000
    6.65   39.8562622070 39.5902   5.5888   4.5973   3.7820   0.4787   0.0000
    6.65   45.3655204773 44.8992   5.7286   4.5435   3.4815   0.4787   0.0000
    6.65   47.8288459778 47.2553   5.7867   4.5046   3.2900   0.4787   0.0000
    6.65   49.6404953003 48.9208   5.8303   4.4716   3.1297   0.4787   0.0000
    6.65   49.6962509155 48.9655   5.8318   4.4708   3.1252   0.4787   0.0000
    6.65   49.9986343384 49.2229   5.8475   4.4855   3.1708   0.4787   0.0000
    6.65   50.0000000000 49.2240   5.8477   4.4857   3.1713   0.4787   0.0000
    6.65   50.0209770203 49.2396   5.8493   4.4878   3.1782   0.4787   0.0000
    6.65   50.0773353577 49.2802   5.8637   4.5076   3.2431   0.4787   0.0000
    6.65   50.5423965454 49.6121   5.8951   4.4299   2.9040   0.4787   0.0000
    6.65   50.6799583435 49.6990   5.8978   4.4201   2.8628   0.4787   0.0000
    6.65   50.8015861511 49.7696   5.9012   4.4071   2.8082   0.4787   0.0000
    6.65   50.9306221008 49.8394   5.9048   4.3923   2.7461   0.4787   0.0000
    6.65   51.0464363098 49.8973   5.9076   4.3794   2.6921   0.4787   0.0000
    6.65   51.2336959839 49.9816   5.9117   4.3580   2.6031   0.4787   0.0000
    6.65   51.4583969116 50.0706   5.9164   4.3338   2.5026   0.4787   0.0000
    6.65   51.6794509888 50.1601   5.9206   4.3111   2.4080   0.4787   0.0000
    6.65   51.9019622803 50.2504   5.9245   4.2831   2.2929   0.4787   0.0000
    6.65   52.1334152222 50.3435   5.9284   4.2503   2.1590   0.4787   0.0000
    6.65   52.3686828613 50.4370   5.9321   4.2114   2.0002   0.4787   0.0000
    6.65   52.5952987671 50.5086   5.9358   4.1641   1.8079   0.4787   0.0000
    6.65   52.8207817078 50.5886   5.9393   4.1051   1.5694   0.4787   0.0000
    6.65   53.0451507568 50.5923   5.9421   4.0552   1.3669   0.4787   0.0000
    6.65   53.2708663940 50.4707   5.9430   4.0084   1.1778   0.4787   0.0000
    6.65   53.3808708191 50.2839   5.9422   3.9810   1.0671   0.4787   0.0000
    6.65   53.5198249817 49.7358   5.9354   3.8959   0.7288   0.4787   0.0000
    6.65   53.5757751465 49.2938   5.9154   3.7419   0.1290   0.4787   0.0000
    6.65   53.5837860107 49.2690   5.9138   3.7342   0.0997   0.4787   0.0000
    6.65   53.5950508118 49.2340   5.9116   3.7265   0.0708   0.4787   0.0000
    6.65   54.7740249634 45.0283   5.9515   3.7297   0.0047   0.4787   0.0000
    6.65   56.3610992432 39.3734   5.9998   3.7370  -0.0725   0.4787   0.0000
#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.70    0.1500000060  0.1500  -2.3036   3.5907   5.2265   0.4787   0.0000
    6.70    0.2000000030  0.2000  -2.0080   3.6158   5.1562   0.4787   0.0000
    6.70    0.2500000000  0.2500  -1.7958   3.6285   5.0917   0.4787   0.0000
    6.70    0.3000000119  0.3000  -1.6574   3.6372   5.0673   0.4787   0.0000
    6.70    0.3499999940  0.3500  -1.5359   3.6446   5.0424   0.4787   0.0000
    6.70    0.4000000060  0.4000  -1.4187   3.6513   5.0099   0.4787   0.0000
    6.70    0.4499999881  0.4500  -1.2816   3.6596   4.9572   0.4787   0.0000
    6.70    0.5000000000  0.5000  -1.1516   3.6693   4.9117   0.4787   0.0000
    6.70    0.5500000119  0.5500  -1.0014   3.6842   4.8626   0.4787   0.0000
