#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60   57.6431083679 28.8545   5.9544   4.5564   3.1156   0.4787   0.0000
    6.60   57.8383407593 28.6738   5.9557   4.5820   3.2137   0.4787   0.0000
    6.60   58.7547874451 27.8640   5.9593   4.6947   3.6484   0.4787   0.0000
    6.60   59.5242271423 27.1277   5.9601   4.7739   3.9531   0.4787   0.0000
    6.60   60.0000000000 26.6775   5.9627   4.8161   4.1118   0.4787   0.0000
    6.60   60.1399497986 26.6382   5.9636   4.8228   4.1370   0.4787   0.0000
    6.60   61.5382537842 26.0702   5.9730   4.8827   4.3580   0.4787   0.0000
    6.60   62.2564888000 25.6997   5.9749   4.9140   4.4749   0.4787   0.0000
    6.60   62.6633949280 25.4299   5.9752   4.9334   4.5475   0.4787   0.0000
    6.60   62.9500236511 25.2667   5.9753   4.9481   4.6036   0.4787   0.0000
    6.60   63.2007102966 25.1129   5.9751   4.9614   4.6543   0.4787   0.0000
    6.60   63.4397659302 24.9673   5.9748   4.9740   4.7027   0.4787   0.0000
    6.60   63.6753463745 24.8215   5.9743   4.9863   4.7499   0.4787   0.0000
    6.60   63.9764938354 24.6446   5.9733   5.0005   4.8044   0.4787   0.0000
    6.60   64.3055343628 24.4178   5.9702   5.0147   4.8605   0.4787   0.0000
    6.60   64.3258819580 24.3867   5.9693   5.0159   4.8655   0.4787   0.0000
    6.60   64.6969223022 23.8214   5.9580   5.0304   4.9244   0.4787   0.0000
    6.60   64.8827972412 23.5777   5.9535   5.0393   4.9604   0.4787   0.0000
    6.60   65.8357162476 22.3540   5.9312   5.0626   5.0525   0.4787   0.0000
    6.60   66.8994522095 21.1951   5.9090   5.0900   5.1613   0.4787   0.0000
    6.60   67.9497528076 20.2661   5.8904   5.1187   5.2753   0.4787   0.0000
    6.60   68.8371887207 19.5923   5.8796   5.1453   5.3778   0.4787   0.0000
    6.60   69.1768646240 13.4982   5.8824   5.1621   5.2801   0.4787   0.0000
    6.60   69.3355712891 13.4512   5.8892   5.1690   5.2994   0.4787   0.0000
    6.60   69.3807449341 13.4349   5.8956   5.1821   5.3452   0.4787   0.0000
    6.60   69.4147491455 13.4209   5.9022   5.1724   5.2993   0.4787   0.0000
#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.65    0.1500000060  0.1500  -2.4325   3.5472   5.1812   0.4787   0.0000
    6.65    0.2000000030  0.2000  -2.1461   3.5713   5.1162   0.4787   0.0000
    6.65    0.2500000000  0.2500  -1.9557   3.5833   5.0706   0.4787   0.0000
    6.65    0.3000000119  0.3000  -1.8045   3.5928   5.0369   0.4787   0.0000
    6.65    0.3499999940  0.3500  -1.6787   3.6006   5.0093   0.4787   0.0000
    6.65    0.4000000060  0.4000  -1.5333   3.6070   4.9473   0.4787   0.0000
    6.65    0.4499999881  0.4500  -1.4164   3.6151   4.9140   0.4787   0.0000
    6.65    0.5000000000  0.5000  -1.2861   3.6250   4.8690   0.4787   0.0000
    6.65    0.5500000119  0.5500  -1.1465   3.6368   4.8180   0.4787   0.0000
    6.65    0.6000000238  0.6000  -1.0105   3.6491   4.7692   0.4787   0.0000
    6.65    0.6999999881  0.7000  -0.7231   3.6845   4.6903   0.4787   0.0000
    6.65    0.8391190767  0.8391  -0.3546   3.7401   4.6229   0.4787   0.0000
    6.65    0.9782381654  0.9782  -0.0383   3.7821   4.5411   0.4787   0.0000
    6.65    1.0782381296  1.0782   0.1628   3.8072   4.4827   0.4787   0.0000
    6.65    1.1782381535  1.1782   0.3552   3.8344   4.4375   0.4787   0.0000
    6.65    1.2782381773  1.2782   0.5225   3.8603   4.4094   0.4787   0.0000
    6.65    1.3782380819  1.3782   0.6727   3.8858   4.3940   0.4787   0.0000
    6.65    1.4782381058  1.4782   0.8079   3.9142   4.4027   0.4787   0.0000
    6.65    1.7608809471  1.7609   1.1313   3.9844   4.4361   0.4787   0.0000
    6.65    1.8608808517  1.8609   1.2298   4.0046   4.4425   0.4787   0.0000
    6.65    1.9608808756  1.9609   1.3179   4.0219   4.4461   0.4787   0.0000
    6.65    2.2000000477  2.2000   1.5083   4.0585   4.4521   0.4787   0.0000
    6.65    2.5000000000  2.5000   1.7145   4.0963   4.4527   0.4787   0.0000
    6.65    2.7550292015  2.7550   1.8674   4.1227   4.4474   0.4787   0.0000
    6.65    3.0000000000  3.0000   2.0017   4.1458   4.4427   0.4787   0.0000
    6.65    3.5000000000  3.5000   2.2370   4.1851   4.4317   0.4787   0.0000
    6.65    4.0000000000  4.0000   2.4369   4.2179   4.4209   0.4787   0.0000
    6.65    4.5000000000  4.5000   2.6096   4.2457   4.4105   0.4787   0.0000
    6.65    5.0000000000  5.0000   2.7624   4.2706   4.4030   0.4787   0.0000
    6.65    6.0000000000  6.0000   3.0302   4.3113   4.3771   0.4787   0.0000
    6.65    7.0000000000  7.0000   3.2562   4.3454   4.3543   0.4787   0.0000
    6.65    9.0000000000  9.0000   3.6237   4.3958   4.2976   0.4787   0.0000
    6.65    9.4982604980  9.4983   3.7007   4.4062   4.2857   0.4787   0.0000
    6.65   12.0000000000 12.0000   4.0439   4.4531   4.2319   0.4787   0.0000
    6.65   15.0000000000 14.9647   4.3643   4.4938   4.1698   0.4787   0.0000
    6.65   16.4745311737 16.4273   4.4918   4.5085   4.1419   0.4787   0.0000
    6.65   20.0000000000 19.9136   4.7662   4.5354   4.0587   0.4787   0.0000
    6.65   22.0834598541 21.9303   4.8886   4.5453   4.0175   0.4787   0.0000
    6.65   27.7003688812 27.2226   5.1759   4.5552   3.8639   0.4787   0.0000
    6.65   30.0000000000 29.2799   5.2788   4.5515   3.7777   0.4787   0.0000
    6.65   31.8886623383 30.9252   5.3455   4.5472   3.7175   0.4787   0.0000
    6.65   37.0658569336 35.1740   5.5123   4.5107   3.4606   0.4787   0.0000
    6.65   40.0000000000 37.2842   5.5976   4.4660   3.2218   0.4787   0.0000
    6.65   41.3500900269 38.2679   5.6299   4.4476   3.1275   0.4787   0.0000
    6.65   43.7280654907 39.8551   5.6853   4.3917   2.8659   0.4787   0.0000
    6.65   45.5199127197 38.8867   5.7202   4.2585   2.2877   0.4787   0.0000
    6.65   45.5739593506 38.8152   5.7213   4.2541   2.2680   0.4787   0.0000
    6.65   46.6726417542 36.8586   5.7511   4.3810   2.7235   0.4787   0.0000
    6.65   46.8698692322 36.7336   5.7669   4.4039   2.7977   0.4787   0.0000
    6.65   46.9340782166 36.6881   5.7802   4.4293   2.8855   0.4787   0.0000
    6.65   46.9714317322 36.6075   5.7843   4.2963   2.3486   0.4787   0.0000
    6.65   46.9727172852 36.5668   5.7843   4.2839   2.2984   0.4787   0.0000
    6.65   46.9878768921 36.2252   5.7804   4.1746   1.8609   0.4787   0.0000
    6.65   46.9999313354 35.8924   5.7971   4.1578   1.7729   0.4787   0.0000
    6.65   47.0114593506 35.5359   5.7998   4.1510   1.7390   0.4787   0.0000
    6.65   47.0222091675 35.2018   5.8017   4.1434   1.7025   0.4787   0.0000
    6.65   47.0321769714 34.8901   5.8035   4.1344   1.6610   0.4787   0.0000
    6.65   47.0411109924 34.6093   5.8052   4.1248   1.6173   0.4787   0.0000
    6.65   47.0510597229 34.2951   5.8069   4.1127   1.5633   0.4787   0.0000
    6.65   47.0576896667 34.0847   5.8077   4.1052   1.5294   0.4787   0.0000
    6.65   47.0663452148 33.8190   5.8083   4.1006   1.5075   0.4787   0.0000
    6.65   47.0765228271 33.4591   5.8126   4.1181   1.5683   0.4787   0.0000
    6.65   47.0869445801 33.2760   5.8105   4.1811   1.8202   0.4787   0.0000
    6.65   47.0976104736 33.1472   5.8113   4.1528   1.7043   0.4787   0.0000
    6.65   47.1092758179 33.0218   5.8126   4.1090   1.5262   0.4787   0.0000
    6.65   47.1183929443 32.9188   5.8138   4.0688   1.3630   0.4787   0.0000
    6.65   47.1292724609 32.7807   5.8149   4.0259   1.1883   0.4787   0.0000
    6.65   47.1363525391 32.6929   5.8154   3.9991   1.0796   0.4787   0.0000
